spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,Notes
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Atlantic Ocean,MAR,42.4,,,-29.1,,,2004,1,Cc-11,0,24,2,0.285,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Atlantic Ocean,MAR,42.4,,,-29.1,,,2004,1,Cc-12,0,24,2,0.632,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Atlantic Ocean,MAR,42.4,,,-29.1,,,2004,1,Cc-13,0,24,2,0.816,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Atlantic Ocean,MAR,42.4,,,-29.1,,,2004,1,Cc-23,0,24,2,0.255,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Atlantic Ocean,MAR,42.4,,,-29.1,,,2004,1,Cc-27,0,24,3,0.261,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Portugal,Azores,39,,,-28.2,,,2003,1,Cc-11,0,16,2,0.5,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Portugal,Azores,39,,,-28.2,,,2003,1,Cc-12,0,16,2,0.499,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Portugal,Azores,39,,,-28.2,,,2003,1,Cc-13,0,16,2,0.767,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Portugal,Azores,39,,,-28.2,,,2003,1,Cc-23,0,16,2,0.723,,
Centroselachus crepidater,Longnose velvet dogfish,Helyar et al. (2011) Conservation Genet. Resour. 3:173-176,1,Portugal,Azores,39,,,-28.2,,,2003,1,Cc-27,0,16,3,0.358,,
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb5,0,41,2,0.907,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb7,0,41,2,0.024,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb13,0,41,4,0.643,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb16,0,41,4,0.921,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb21,0,41,2,0.864,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474, ,,12.139989,,,,1,Geelb25,0,41,4,0.914,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb27,0,41,4,0.926,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb29,0,41,4,0.911,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb30,0,41,4,0.911,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck,"Henriques, McKeown & Shaw (2012) Conservation Genet. Resour. 4:85-87",1,Angola,Namibe,-15.187474,,,12.139989,,,,1,Geelb32,0,41,4,0.962,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb5,0,48,2,0.928,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb13,0,47,4,0.678,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb16,0,48,4,0.927,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb21,0,47,2,0.894,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb27,0,47,4,0.927,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb29,0,48,4,0.916,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb30,0,48,4,0.917,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Luanda,-8.798547,,,13.218858,,,2008-2010,1,Geelb32,0,48,4,0.965,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Lucira,-13.865413,,,12.520938,,,2008-2010,1,Geelb5,0,70,2,0.918,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Lucira,-13.865413,,,12.520938,,,2008-2010,1,Geelb13,0,70,4,0.669,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Lucira,-13.865413,,,12.520938,,,2008-2010,1,Geelb16,0,70,4,0.926,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Lucira,-13.865413,,,12.520938,,,2008-2010,1,Geelb21,0,70,2,0.881,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Lucira,-13.865413,,,12.520938,,,2008-2010,1,Geelb27,0,70,4,0.927,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Lucira,-13.865413,,,12.520938,,,2008-2010,1,Geelb29,0,70,4,0.918,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Lucira,-13.865413,,,12.520938,,,2008-2010,1,Geelb30,0,69,4,0.915,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Namibe,-15.195258,,,12.136212,,,2008-2010,1,Geelb5,0,66,2,0.932,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Namibe,-15.195258,,,12.136212,,,2008-2010,1,Geelb13,0,68,4,0.645,,geo coordinates pulled from place name
Atractoscion aequidens,Geelbeck croaker,Henriques et al. (2014) PLoS ONE 9:e87907,0,Angola,Namibe,-15.195258,,,12.136212,,,2008-2010,1,Geelb16,0,67,4,0.925,,geo coordinates pulled from place name
