spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-4,0,30,2,0.5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-15,0,30,2,0.8036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-18,0,30,2,0.5783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-19,0,30,2,0.4223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-24,0,30,2,0.2633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-28,0,30,2,0.3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-30,0,30,2,0.4388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miichthys miiuy,Mi-iuy croaker,Wang et al. 2010 Gen & Mol Res 9:931-934,1,China,Zhoushan fishing ground,29.947795,,,122.211797,,,,1,Mimi-39,0,30,2,0.8253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,NW Mid-Atlantic Ridge,53.85,,,-36.19,,,2007,13,,1,23,2,0.81,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,NE Mid-Atlantic Ridge,54.1,,,-33.97,,,2007,13,,1,29,2,0.82,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
