spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,Notes
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe218,1,50,2,0.705,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe236,1,50,2,0.826,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe231,1,46,2,0.806,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe294,1,45,2,0.841,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe467,1,47,2,0.617,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe157,1,48,2,0.638,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe674,1,49,2,0.507,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe527,1,49,2,0.482,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,General Santos,6.085546,,,125.17124,,,2010-2012,1,Obe237,1,49,2,0.566,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe218,1,49,2,0.721,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe236,1,50,2,0.853,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe231,1,46,2,0.796,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe294,1,44,2,0.857,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe467,1,47,2,0.624,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe157,1,47,2,0.533,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe674,1,50,2,0.505,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe527,1,50,2,0.473,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Eastern Samar,11.53142,,,125.6086,,,2010-2012,1,Obe237,1,50,2,0.555,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe218,1,50,2,0.732,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe236,1,48,2,0.861,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe231,1,49,2,0.773,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe294,1,49,2,0.836,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe467,1,44,2,0.617,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe157,1,44,2,0.655,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe674,1,50,2,0.426,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe527,1,50,2,0.447,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Philippines,Zambales,15.26983,,,119.9862,,,2010-2012,1,Obe237,1,50,2,0.576,,geo coordinates pulled from place name
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe218,1,44,2,0.838,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe236,1,43,2,0.921,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe231,1,45,2,0.899,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe294,1,45,2,0.87,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe467,1,44,2,0.819,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe157,1,44,2,0.705,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe674,1,39,2,0.429,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe527,1,39,2,0.441,,
Thunnus albacares,Yellowfin tuna,Aguila et al. (2015) PLoS ONE 10:e0138292,0,Papua New Guinea,Bismark Sea,4,17,60,149,18,58,2010-2012,1,Obe237,1,46,2,0.496,,
Carcharhinus sorrah,Spot-tail shark,"Almojil, Cliff & Spaet (2018) Ecology & Evolution 8:9536-9549",0,Bahrain,Al Manama,26.226346,,,50.615771,,,2011-2013,13,,0,51,2,0.66,0.024,geo coordinates pulled from place name
Carcharhinus sorrah,Spot-tail shark,"Almojil, Cliff & Spaet (2018) Ecology & Evolution 8:9536-9549",0,United Arab Emirates,UAE,25.15571,,,55.10468,,,2011-2013,13,,0,96,2,0.69,0.013,geo coordinates pulled from place name
Carcharhinus limbatus,Blacktip shark,"Almojil, Cliff & Spaet (2018) Ecology & Evolution 8:9536-9549",0,Bahrain,Al Manama,26.226346,,,50.615771,,,2011-2013,8,,0.09,12,2,0.7,0.012,geo coordinates pulled from place name
Carcharhinus limbatus,Blacktip shark,"Almojil, Cliff & Spaet (2018) Ecology & Evolution 8:9536-9549",0,Kuwait,Kuwait,29.22797,,,48.06203,,,2011-2013,8,,0.09,12,2,0.7,0.014,geo coordinates pulled from place name
Carcharhinus limbatus,Blacktip shark,"Almojil, Cliff & Spaet (2018) Ecology & Evolution 8:9536-9549",0,Pakistan,Karachi,24.810846,,,66.89725,,,2011-2013,8,,0.09,57,2,0.71,0.005,geo coordinates pulled from place name
Carcharhinus limbatus,Blacktip shark,"Almojil, Cliff & Spaet (2018) Ecology & Evolution 8:9536-9549",0,Saudia Arabia,Jeddah,21.39823,,,39.14863,,,2011-2013,8,,0.09,91,2,0.71,0.004,geo coordinates pulled from place name
Carcharhinus limbatus,Blacktip shark,"Almojil, Cliff & Spaet (2018) Ecology & Evolution 8:9536-9549",0,United Arabe Emirates,UAE,25.15571,,,55.10468,,,2011-2013,8,,0.09,85,2,0.71,0.003,geo coordinates pulled from place name
