spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,Notes
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Crozet Islands,-46.3085,,,51.23385,,,2001,1,To5,0,59,2,0.115,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Crozet Islands,-46.3085,,,51.23385,,,2001,1,To2,0,57,2,0.796,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Crozet Islands,-46.3085,,,51.23385,,,2001,1,cmrDe30,0,55,2,0.764,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Crozet Islands,-46.3085,,,51.23385,,,2001,1,cmrDe2,0,41,2,0.92,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Crozet Islands,-46.3085,,,51.23385,,,2001,1,cmrDe13,0,57,3,0.592,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Crozet Islands,-46.3085,,,51.23385,,,2001,1,cmrDe4,0,59,3,0.834,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Kerguelen Islands,-48.65704,,,69.306897,,,2001,1,To2,0,28,2,0.81,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Kerguelen Islands,-48.65704,,,69.306897,,,2001,1,cmrDe30,0,29,2,0.699,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Kerguelen Islands,-48.65704,,,69.306897,,,2001,1,cmrDe13,0,30,3,0.561,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Kerguelen Islands,-48.65704,,,69.306897,,,2001,1,cmrDe4,0,30,3,0.853,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Prince Edward and Marion1,-46.643223,,,37.71773,,,2001,1,To2,0,32,2,0.813,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Prince Edward and Marion1,-46.643223,,,37.71773,,,2001,1,cmrDe30,0,35,2,0.554,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Prince Edward and Marion1,-46.643223,,,37.71773,,,2001,1,cmrDe13,0,21,3,0.619,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Prince Edward and Marion1,-46.643223,,,37.71773,,,2001,1,cmrDe4,0,33,3,0.831,,geo coordinates pulled from place name
Dissostichus eleginoides,Patagonian toothfish,"Appleyard, Williams & Ward. 2004. CCAMLR Science 11:21-32",0,West Indian Ocean sector of the Southern Ocean,Prince Edward and Marion1,-46.643223,,,37.71773,,,2001,1,cmrDe9,0,15,2,0.947,,geo coordinates pulled from place name
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar. Biol. 150:1321-1332,0,Greece,Crete,35.054409,,,24.694832,,,1994,1,GA2A,1,51,2,0.926,,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar. Biol. 150:1321-1332,0,Greece,Crete,35.054409,,,24.694832,,,1994,1,Pma1,1,50,2,0.966,,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar. Biol. 150:1321-1332,0,Greece,Crete,35.054409,,,24.694832,,,1994,1,Pma4,1,50,2,0.596,,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar. Biol. 150:1321-1332,0,Greece,Crete,35.054409,,,24.694832,,,1994,1,SaGT41a,1,51,2,0.455,,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar. Biol. 150:1321-1332,0,Morocco,Madeira,32.841287,,,-16.819405,,,1997-1998,1,GA2A,1,51,2,0.927,,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar. Biol. 150:1321-1332,0,Morocco,Madeira,32.841287,,,-16.819405,,,1997-1998,1,Pma1,1,50,2,0.971,,
