spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Pomacentrus coelestis,Neon damselfish ,Miller-Sims et al. 2005. Mol Ecol Notes 5:424-426 ,1,Australia,"One Tree Island, Great Barrier Reef",-23.508,,,152.091216,,,,1,POM 3,0,20,2,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacentrus coelestis,Neon damselfish ,Miller-Sims et al. 2005. Mol Ecol Notes 5:424-426 ,1,Australia,"One Tree Island, Great Barrier Reef",-23.508,,,152.091216,,,,1,POM 6,0,20,2,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacentrus coelestis,Neon damselfish ,Miller-Sims et al. 2005. Mol Ecol Notes 5:424-426 ,1,Australia,"One Tree Island, Great Barrier Reef",-23.508,,,152.091216,,,,1,POM 15,0,20,2,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacentrus coelestis,Neon damselfish ,Miller-Sims et al. 2005. Mol Ecol Notes 5:424-426 ,1,Australia,"One Tree Island, Great Barrier Reef",-23.508,,,152.091216,,,,1,POM 16.2,0,20,2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacentrus coelestis,Neon damselfish ,Miller-Sims et al. 2005. Mol Ecol Notes 5:424-426 ,1,Australia,"One Tree Island, Great Barrier Reef",-23.508,,,152.091216,,,,1,POM 21,0,20,2,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacentrus coelestis,Neon damselfish ,Miller-Sims et al. 2005. Mol Ecol Notes 5:424-426 ,1,Australia,"One Tree Island, Great Barrier Reef",-23.508,,,152.091216,,,,1,POM 25,0,20,2,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacentrus coelestis,Neon damselfish ,Miller-Sims et al. 2005. Mol Ecol Notes 5:424-426 ,1,Australia,"One Tree Island, Great Barrier Reef",-23.508,,,152.091216,,,,1,POM 26,0,20,2,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,English Channel,50.3,,,-0.271217,,,,1,Rc-B3,0,43,2,0.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,English Channel,50.3,,,-0.271217,,,,1,Rc-B4,0,43,2,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,English Channel,50.3,,,-0.271217,,,,1,Rc-B6,0,43,2,0.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,English Channel,50.3,,,-0.271217,,,,1,Rc-E9,0,43,2,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,English Channel,50.3,,,-0.271217,,,,1,Rc-G2,0,43,2,0.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,Irish Sea,53.6,,,-5.54902,,,,1,Rc-B3,0,25,2,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,Irish Sea,53.6,,,-5.54902,,,,1,Rc-B4,0,25,2,0.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,Irish Sea,53.6,,,-5.54902,,,,1,Rc-B6,0,25,2,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,Irish Sea,53.6,,,-5.54902,,,,1,Rc-E9,0,25,2,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja clavata,Thornback ray,Chevolot et al. 2005. Mol Ecol Notes 5:427-429,1,United Kingdom,Irish Sea,53.6,,,-5.54902,,,,1,Rc-G2,0,25,2,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"South Carolina Atlantic coast (Bulls Bay, Charleston County)",32.99,,,-79.539894,,,"2000, 2001",1,Cli-7,0,34,2,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"South Carolina Atlantic coast (Bulls Bay, Charleston County)",32.99,,,-79.539894,,,"2000, 2001",1,Cli-12,0,34,2,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"South Carolina Atlantic coast (Bulls Bay, Charleston County)",32.99,,,-79.539894,,,"2000, 2001",1,Cli-13,0,34,2,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"South Carolina Atlantic coast (Bulls Bay, Charleston County)",32.99,,,-79.539894,,,"2000, 2001",1,Cli-55,0,34,2,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"South Carolina Atlantic coast (Bulls Bay, Charleston County)",32.99,,,-79.539894,,,"2000, 2001",1,Cli-100,0,34,2,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"South Carolina Atlantic coast (Bulls Bay, Charleston County)",32.99,,,-79.539894,,,"2000, 2001",1,Cli-107,0,34,2,0.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"South Carolina Atlantic coast (Bulls Bay, Charleston County)",32.99,,,-79.539894,,,"2000, 2001",1,Cli-108,0,34,2,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Glynn County, Atlantic coast of Georgia",31.175,,,-81.297772,,,2002,1,Cli-2,0,13,2,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Glynn County, Atlantic coast of Georgia",31.175,,,-81.297772,,,2002,1,Cli-7,0,13,2,0.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Glynn County, Atlantic coast of Georgia",31.175,,,-81.297772,,,2002,1,Cli-12,0,13,2,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Glynn County, Atlantic coast of Georgia",31.175,,,-81.297772,,,2002,1,Cli-13,0,13,2,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Glynn County, Atlantic coast of Georgia",31.175,,,-81.297772,,,2002,1,Cli-55,0,13,2,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Glynn County, Atlantic coast of Georgia",31.175,,,-81.297772,,,2002,1,Cli-107,0,13,2,0.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Glynn County, Atlantic coast of Georgia",31.175,,,-81.297772,,,2002,1,Cli-108,0,13,2,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Pine Island Sound, Lee County, Georgia, Florida Gulf coast",26.57,,,-82.156491,,,"2000, 2001",1,Cli-2,0,72,2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Pine Island Sound, Lee County, Georgia, Florida Gulf coast",26.57,,,-82.156491,,,"2000, 2001",1,Cli-7,0,72,2,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Pine Island Sound, Lee County, Georgia, Florida Gulf coast",26.57,,,-82.156491,,,"2000, 2001",1,Cli-12,0,72,2,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus limbatus,Blacktip shark,Keeney et al. 2005. Mol Ecol 14:1911-1923,0,United States,"Pine Island Sound, Lee County, Georgia, Florida Gulf coast",26.57,,,-82.156491,,,"2000, 2001",1,Cli-13,0,72,2,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
