"","spp","CommonName","Source","PrimerNote","Country","Site","lat","lon","stockid","CollectionYear","NumMarkers","MarkerName","CrossSpp","n","Repeat","He","Hese","file"
"1","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 33",0,20,"2",0.73,NA,"msats000"
"2","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 37",0,20,"2",0.71,NA,"msats000"
"3","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 42",0,20,"2",0.85,NA,"msats000"
"4","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"AC 45",0,20,"2",0.89,NA,"msats000"
"5","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"POM 15",0,20,"2",0.81,NA,"msats000"
"6","Acanthochromis polyacanthus","Spiny chromis ","Miller-Sims et al. 2005 Mol Ecol Notes 5:841-843",1,"Australia","One Tree Island Lagoon",-23.507409,152.066936,NA,"",1,"POM 3",0,20,"2",0.6,NA,"msats000"
"7","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"AC33?",0,41,NA,0.3,NA,"msats100"
"8","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"AC37",0,41,NA,0.66,NA,"msats100"
"9","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"POM15?",0,41,NA,0.86,NA,"msats100"
"10","Acanthochromis polyacanthus","Spiny chromis","Miller-Sims et al. 2008: Mol. Ecol. 17:5036-5048",0,"Australia","Fitzroy reef, Capricorn-Bunker group of Southern Great Barrier Reef",-23.6,152.109619,NA,"2003/2005?",1,"POM3",0,41,NA,0.84,NA,"msats100"
