"spp","fbsci"
"Hexagrammos otakii","Hexagrammos otakii"
"Hexanchus griseus","Hexanchus griseus"
"Hippocampus hippocampus","Hippocampus hippocampus"
"Hippocampus ingens","Hippocampus ingens"
"Hippocampus kuda","Hippocampus kuda"
"Hippocampus mohnikei","Hippocampus mohnikei"
"Hippocampus trimaculatus","Hippocampus trimaculatus"
"Hippoglossus stenolepis","Hippoglossus stenolepis"
"Holocentrus adscensionis","Holocentrus adscensionis"
"Hoplostethus atlanticus","Hoplostethus atlanticus"
"Hyperoglyphe antarctica","Hyperoglyphe antarctica"
"Isurus oxyrinchus","Isurus oxyrinchus"
"Katsuwonus pelamis","Katsuwonus pelamis"
"Labroides dimidiatus","Labroides dimidiatus"
"Larabicus quadrilineatus","Larabicus quadrilineatus"
"Larimichthys polyactis","Larimichthys polyactis"
"Lepidorhombus boscii","Lepidorhombus boscii"
"Lethrinus harak","Lethrinus harak"
"Lethrinus mahsena","Lethrinus mahsena"
"Lethrinus nebulosus","Lethrinus nebulosus"
"Leuresthes tenuis","Leuresthes tenuis"
"Lichia amia","Lichia amia"
"Lipophrys pholis","Lipophrys pholis"
"Lithognathus mormyrus","Lithognathus mormyrus"
"Lutjanus analis","Lutjanus analis"
"Lutjanus carponotatus","Lutjanus carponotatus"
"Lutjanus fulvus","Lutjanus fulvus"
"Lutjanus jocu","Lutjanus jocu"
"Lutjanus kasmira","Lutjanus kasmira"
"Lutjanus purpureus","Lutjanus purpureus"
"Lutjanus synagris","Lutjanus synagris"
"Macrodon ancylodon","Macrodon ancylodon"
"Makaira nigricans","Makaira nigricans"
"Menidia menidia","Menidia menidia"
"Menticirrhus americanus","Menticirrhus americanus"
"Merlangius merlangus","Merlangius merlangus"
"Merluccius albidus","Merluccius albidus"
"Merluccius bilinearis","Merluccius bilinearis"
"Merluccius capensis","Merluccius capensis"
"Merluccius paradoxus","Merluccius paradoxus"
"Micropogonias furnieri","Micropogonias furnieri"
"Micropogonias undulatus","Micropogonias undulatus"
"Microstomus pacificus","Microstomus pacificus"
"Miichthys miiuy","Miichthys miiuy"
"Mulloidichthys flavolineatus","Mulloidichthys flavolineatus"
"Mustelus asterias","Mustelus asterias"
"Mustelus mustelus","Mustelus mustelus"
"Myripristis berndti","Myripristis berndti"
"Myripristis jacobus","Myripristis jacobus"
"Naso unicornis","Naso unicornis"
"Nuchequula mannusella","Nuchequula mannusella"
"Odonus niger","Odonus niger"
"Okamejei kenojei","Okamejei kenojei"
"Ophiodon elongatus","Ophiodon elongatus"
"Opistognathus aurifrons","Opistognathus aurifrons"
"Oplegnathus fasciatus","Oplegnathus fasciatus"
"Pagellus erythrinus","Pagellus erythrinus"
"Pagrus major","Pagrus major"
"Pagrus pagrus","Pagrus pagrus"
"Pampus argenteus","Pampus argenteus"
"Pampus chinensis","Pampus chinensis"
"Pampus minor","Pampus minor"
"Paralichthys californicus","Paralichthys californicus"
"Paralichthys olivaceus","Paralichthys olivaceus"
"Parupeneus multifasciatus","Parupeneus multifasciatus"
"Pennahia argentata","Pennahia argentata"
"Pholis fangi","Pholis fangi"
"Plectropomus leopardus","Plectropomus leopardus"
"Plectropomus maculatus","Plectropomus maculatus"
"Pleuragramma antarctica","Pleuragramma antarctica"
"Polyprion oxygeneios","Polyprion oxygeneios"
"Pomacentrus coelestis","Pomacentrus coelestis"
"Pomacentrus moluccensis","Pomacentrus moluccensis"
"Pontinus kuhlii","Pontinus kuhlii"
"Prionace glauca","Prionace glauca"
"Pristipomoides filamentosus","Pristipomoides filamentosus"
"Pristipomoides zonatus","Pristipomoides zonatus"
"Pseudopleuronectes herzensteini","Pseudopleuronectes herzensteini"
"Pseudopleuronectes yokohamae","Pseudopleuronectes yokohamae"
"Pterois miles","Pterois miles"
"Raja clavata","Raja clavata"
"Raja miraletus","Raja miraletus"
"Raja polystigma","Raja polystigma"
"Raja radula","Raja radula"
"Rastrelliger kanagurta","Rastrelliger kanagurta"
"Reinhardtius hippoglossoides","Reinhardtius hippoglossoides"
"Rhincodon typus","Rhincodon typus"
"Rhizoprionodon acutus","Rhizoprionodon acutus"
"Ruanoho whero","Ruanoho whero"
"Sardinella lemuru","Sardinella lemuru"
"Sardinops sagax","Sardinops sagax"
"Saurida elongata","Saurida elongata"
"Scarus ghobban","Scarus ghobban"
"Scarus psittacus","Scarus psittacus"
"Scomber australasicus","Scomber australasicus"
"Scomber japonicus","Scomber japonicus"
"Scomber scombrus","Scomber scombrus"
"Scomberomorus brasiliensis","Scomberomorus brasiliensis"
"Scomberomorus cavalla","Scomberomorus cavalla"
"Scomberomorus commerson","Scomberomorus commerson"
"Scomberomorus concolor","Scomberomorus concolor"
"Scomberomorus niphonius","Scomberomorus niphonius"
"Scomberomorus semifasciatus","Scomberomorus semifasciatus"
"Scomberomorus sierra","Scomberomorus sierra"
"Scombrops boops","Scombrops boops"
"Scombrops gilberti","Scombrops gilberti"
"Scyliorhinus canicula","Scyliorhinus canicula"
"Scyliorhinus stellaris","Scyliorhinus stellaris"
"Sebastes emphaeus","Sebastes emphaeus"
"Sebastes flavidus","Sebastes flavidus"
"Sebastes helvomaculatus","Sebastes helvomaculatus"
"Sebastes miniatus","Sebastes miniatus"
"Sebastes oculatus","Sebastes oculatus"
"Sebastes schlegelii","Sebastes schlegelii"
"Sebastiscus marmoratus","Sebastiscus marmoratus"
"Selar crumenophthalmus","Selar crumenophthalmus"
"Seriola dumerili","Seriola dumerili"
"Seriola lalandi","Seriola lalandi"
"Seriola rivoliana","Seriola rivoliana"
"Seriolella brama","Seriolella brama"
"Seriolella punctata","Seriolella punctata"
"Siganus fuscescens","Siganus fuscescens"
"Siganus guttatus","Siganus guttatus"
"Siganus spinus","Siganus spinus"
"Sillago japonica","Sillago japonica"
"Solea solea","Solea solea"
"Somniosus rostratus","Somniosus rostratus"
"Sparus aurata","Sparus aurata"
"Sphaeramia orbicularis","Sphaeramia orbicularis"
"Sphyraena barracuda","Sphyraena barracuda"
"Sphyraena viridensis","Sphyraena viridensis"
"Sphyrna lewini","Sphyrna lewini"
"Sprattus sprattus","Sprattus sprattus"
"Squalus blainville","Squalus blainville"
"Stenobrachius leucopsarus","Stenobrachius leucopsarus"
"Stenobrachius nannochir","Stenobrachius nannochir"
"Syngnathus leptorhynchus","Syngnathus leptorhynchus"
"Takifugu rubripes","Takifugu rubripes"
"Thalassoma bifasciatum","Thalassoma bifasciatum"
"Thamnaconus hypargyreus","Thamnaconus hypargyreus"
"Thunnus albacares","Thunnus albacares"
"Thunnus obesus","Thunnus obesus"
"Torpedo marmorata","Torpedo marmorata"
"Totoaba macdonaldi","Totoaba macdonaldi"
"Trachurus mediterraneus","Trachurus mediterraneus"
"Trachurus murphyi","Trachurus murphyi"
"Trachurus picturatus","Trachurus picturatus"
"Trachurus trachurus","Trachurus trachurus"
"Triaenodon obesus","Triaenodon obesus"
"Trygonorrhina dumerilii","Trygonorrhina dumerilii"
"Trygonorrhina fasciata","Trygonorrhina fasciata"
"Uropterygius micropterus","Uropterygius micropterus"
"Verasper variegatus","Verasper variegatus"
"Xiphias gladius","Xiphias gladius"
"Xyrichtys novacula","Xyrichtys novacula"
"Zearaja chilensis","Zearaja chilensis"
"Zebrasoma flavescens","Zebrasoma flavescens"
