"spp","fbsci"
"Abudefduf saxatilis","Abudefduf saxatilis"
"Acanthocybium solandri","Acanthocybium solandri"
"Acanthopagrus schlegelii","Acanthopagrus schlegelii"
"Acanthurus nigrofuscus","Acanthurus nigrofuscus"
"Acanthurus nigroris","Acanthurus nigroris"
"Acanthurus triostegus","Acanthurus triostegus"
"Aetobatus narinari","Aetobatus narinari"
"Alopias vulpinus","Alopias vulpinus"
"Amblyraja radiata","Amblyraja radiata"
"Ammodytes personatus","Ammodytes personatus"
"Amphiprion akallopisos","Amphiprion akallopisos"
"Amphiprion latezonatus","Amphiprion latezonatus"
"Amphiprion melanopus","Amphiprion melanopus"
"Anoplopoma fimbria","Anoplopoma fimbria"
"Archosargus probatocephalus","Archosargus probatocephalus"
"Atherinella brasiliensis","Atherinella brasiliensis"
"Auxis rochei","Auxis rochei"
"Auxis thazard","Auxis thazard"
"Balistes capriscus","Balistes capriscus"
"Bathygobius cocosensis","Bathygobius cocosensis"
"Bathytoshia centroura","Bathytoshia centroura"
"Bellapiscis lesleyae","Bellapiscis lesleyae"
"Bellapiscis medius","Bellapiscis medius"
"Beringraja pulchra","Beringraja pulchra"
"Beryx decadactylus","Beryx decadactylus"
"Beryx splendens","Beryx splendens"
"Boreogadus saida","Boreogadus saida"
"Branchiostegus japonicus","Branchiostegus japonicus"
"Branchiostoma belcheri","NA"
"Branchiostoma japonicum","NA"
"Caffrogobius caffer","Caffrogobius caffer"
"Carcharhinus galapagensis","Carcharhinus galapagensis"
"Carcharodon carcharias","Carcharodon carcharias"
"Centrophorus harrissoni","Centrophorus harrissoni"
"Centrophorus moluccensis","Centrophorus moluccensis"
"Centrophorus uyato","Centrophorus uyato"
"Centrophorus zeehaani","Centrophorus zeehaani"
"Centropristis striata","Centropristis striata"
"Centroscymnus crepidater","Centroscymnus crepidater"
"Cephalopholis argus","Cephalopholis argus"
"Cephalopholis fulva","Cephalopholis fulva"
"Cetengraulis edentulus","Cetengraulis edentulus"
"Chaetodon austriacus","Chaetodon austriacus"
"Chaetodon lunulatus","Chaetodon lunulatus"
"Chaetodon melapterus","Chaetodon melapterus"
"Chaetodon meyeri","Chaetodon meyeri"
"Chaetodon ornatissimus","Chaetodon ornatissimus"
"Chaetodon tricinctus","Chaetodon tricinctus"
"Chaetodon trifasciatus","Chaetodon trifasciatus"
"Chromis multilineata","Chromis multilineata"
"Chromis viridis","Chromis viridis"
"Chrysiptera talboti","Chrysiptera talboti"
"Chrysoblephus laticeps","Chrysoblephus laticeps"
"Chrysoblephus puniceus","Chrysoblephus puniceus"
"Cirrhilabrus punctatus","Cirrhilabrus punctatus"
"Cleisthenes herzensteini","Cleisthenes herzensteini"
"Clupea pallasii pallasii","Clupea pallasii pallasii"
"Collichthys lucidus","Collichthys lucidus"
"Conger conger","Conger conger"
"Coris bulbifrons","Coris bulbifrons"
"Coryphaenoides mediterraneus","Coryphaenoides mediterraneus"
"Crystallias matsushimae","Crystallias matsushimae"
"Cynoscion nebulosus","Cynoscion nebulosus"
"Dalatias licha","Dalatias licha"
"Dasyatis pastinaca","Dasyatis pastinaca"
"Diaphus theta","Diaphus theta"
"Dicentrarchus labrax","Dicentrarchus labrax"
"Diplodus sargus","Diplodus sargus"
"Diplodus vulgaris","Diplodus vulgaris"
"Dipturus oxyrinchus","Dipturus oxyrinchus"
"Dipturus trachyderma","Dipturus trachyderma"
"Eleginops maclovinus","Eleginops maclovinus"
"Engraulis australis","Engraulis australis"
"Engraulis capensis","Engraulis capensis"
"Engraulis encrasicolus","Engraulis encrasicolus"
"Engraulis eurystole","Engraulis eurystole"
"Engraulis japonicus","Engraulis japonicus"
"Epinephelus akaara","Epinephelus akaara"
"Epinephelus fasciatus","Epinephelus fasciatus"
"Epinephelus itajara","Epinephelus itajara"
"Epinephelus merra","Epinephelus merra"
"Epinephelus striatus","Epinephelus striatus"
"Etelis carbunculus","Etelis carbunculus"
"Etelis coruscans","Etelis coruscans"
"Euthynnus affinis","Euthynnus affinis"
"Eviota albolineata","Eviota albolineata"
"Eviota queenslandica","Eviota queenslandica"
"Fistularia commersonii","Fistularia commersonii"
"Forsterygion capito","Forsterygion capito"
"Forsterygion gymnotum","Forsterygion gymnotum"
"Forsterygion lapillum","Forsterygion lapillum"
"Forsterygion nigripenne","Forsterygion nigripenne"
"Forsterygion varium","Forsterygion varium"
"Gadus macrocephalus","Gadus macrocephalus"
"Gadus morhua","Gadus morhua"
"Galeus melastomus","Galeus melastomus"
"Genypterus capensis","Genypterus capensis"
"Ginglymostoma cirratum","Ginglymostoma cirratum"
"Girella punctata","Girella punctata"
"Glyptocephalus stelleri","Glyptocephalus stelleri"
"Halichoeres cyanocephalus","Halichoeres cyanocephalus"
"Halichoeres garnoti","Halichoeres garnoti"
"Halichoeres maculipinna","Halichoeres maculipinna"
"Heptranchias perlo","Heptranchias perlo"
"Hexagrammos agrammus","Hexagrammos agrammus"
