spp,CommonName,Pelagic_Coastal,PC_Certainty,Genus,Family,Northernmost,Southernmost,Westernmost,Easternmost,Range_Total,Half_RangeSize,Centroid
Triaenodon obesus,Whitetip reef shark,Coastal,,Triaenodon,Carcharhinidae,29,-30,33,-77,59,29.5,-0.5
Triakis megalopterus,Sharptooth houndshark,Coastal,,Triakis,Triakidae,-30,-36,#VALUE!,NA,6,3,-33
Tripterygion delaisi,Black-faced blenny,Coastal,,Tripterygion,Tripterygiidae,52,12,-19,36,40,20,32
Trygonorrhina dumerilii,Southern fiddler ray,Coastal,,Trygonorrhina,Rhinobatidae,-31,-41,114,148,10,5,-36
Trygonorrhina fasciata,Eastern fiddler ray,Coastal,,Trygonorrhina,Rhinobatidae,-28,-38,149,155,10,5,-33
Urobatis halleri,Haller's round ray,Coastal,,Urobatis,Urotrygonidae,43,7,-125,-79,36,18,25
Urophycis tenuis,White hake,Coastal,,Urophycis,Phycidae,66,27,-81,-13,39,19.5,46.5
Uropterygius micropterus,Tidepool snake moray,Coastal,,Uropterygius,Muraenidae,32,-24,#VALUE!,NA,56,28,4
Verasper moseri,Barfin flounder,Coastal,,Verasper,Pleuronectidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Verasper variegatus,Spotted halibut,Coastal,,Verasper,Pleuronectidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Xiphias gladius,Swordfish,Pelagic,,Xiphias,Xiphiidae,69,-50,-180,180,119,59.5,9.5
Xyrichtys novacula,Pearly razorfish,Coastal,,Xyrichtys,Labridae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Zearaja chilensis,Yellownose skate,Coastal,,Zearaja,Rajidae,-18,-57,-75,-52,39,19.5,-37.5
Zearaja maugeana,Maugean skate,Coastal,Maybe,Zearaja,Rajidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Zebrasoma flavescens,Yellow tang,Coastal,,Zebrasoma,Acanthuridae,30,-25,105,-137,55,27.5,2.5
Zoarces viviparus,Eelpout,Coastal,,Zoarces,Zoarcidae,72,49,-11,52,23,11.5,60.5
Zosterisessor ophiocephalus,Grass goby,Coastal,,Zosterisessor,Gobiidae,47,28,-6,42,19,9.5,37.5
