spp,CommonName,Pelagic_Coastal,PC_Certainty,Genus,Family,Northernmost,Southernmost,Westernmost,Easternmost,Range_Total,Half_RangeSize,Centroid
Ophiodon elongatus,Lingcod,Coastal,,Ophiodon,Hexagrammidae,61,31,-172,-116,30,15,46
Opistognathus aurifrons,Yellowhead jawfish,Coastal,,Opistognathus,Opistognathidae,NA,-23,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Oplegnathus fasciatus,Barred knifejaw,Coastal,,Oplegnathus,Oplegnathidae,41,22,117,-154,19,9.5,31.5
Ostorhinchus doederleini,Doederlein's cardinalfish,Coastal,,Ostorhinchus,Apogonidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Pagellus bogaraveo,Blackspot seabream,Coastal,,Pagellus,Sparidae,65,20,-32,17,45,22.5,42.5
Pagellus erythrinus,Common pandora,Coastal,,Pagellus,Sparidae,60,10,-26,36,50,25,35
Pagothenia borchgrevinki,Bald notothen,Pelagic,,Pagothenia,Nototheniidae,-60,-78,-180,180,18,9,-69
Pagrus auratus,Silver seabream,Coastal,,Pagrus,Sparidae,44,-47,90,-175,91,45.5,-1.5
Pagrus auriga,Redbanded seabream,Coastal,,Pagrus,Sparidae,44,-16,-17,35,60,30,14
Pagrus major,Red seabream,Coastal,,Pagrus,Sparidae,34,15,#VALUE!,NA,19,9.5,24.5
Pagrus pagrus,Red porgy,Coastal,,Pagrus,Sparidae,51,-43,-98,36,94,47,4
Pampus argenteus,Silver pomfret,Coastal,,Pampus,Stromateidae,46,-10,47,142,56,28,18
Pampus chinensis,Chinese silver pomfret,Coastal,,Pampus,Stromateidae,32,-10,48,131,42,21,11
Pampus minor,Southern lesser pomfret,Coastal,,Pampus,Stromateidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Paracentropogon rubripinnis,Redfin waspfish,Coastal,,Paracentropogon,Tetrarogidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Paralabrax albomaculatus,Whitespotted sandbass,Coastal,,Paralabrax,Serranidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Paralabrax clathratus,Kelp bass,Coastal,,Paralabrax,Serranidae,48,23,-126,-109,25,12.5,35.5
Paralabrax nebulifer,Barred sand bass,Coastal,,Paralabrax,Serranidae,37,15,-123,-99,22,11,26
Paralichthys californicus,California flounder,Coastal,,Paralichthys,Paralichthyidae,48,24,#VALUE!,NA,24,12,36
Paralichthys olivaceus,Bastard halibut,Coastal,,Paralichthys,Paralichthyidae,62,1,99,163,61,30.5,31.5
Parapristipoma trilineatum,Chicken grunt,Coastal,,Parapristipoma,Haemulidae,39,15,105,140,24,12,27
Parupeneus multifasciatus,Manybar goatfish,Coastal,,Parupeneus,Mullidae,30,-32,92,-132,62,31,-1
Pennahia argentata,Silver croaker,Coastal,Maybe,Pennahia,Sciaenidae,39,22,114,136,17,8.5,30.5
Pholis fangi,,Coastal,,Pholis,Pholidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Planiliza affinis,Eastern keelback mullet,Coastal,,Planiliza,Mugilidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Plectropomus areolatus,Squaretail coralgrouper,Coastal,,Plectropomus,Serranidae,31,-25,32,-169,56,28,3
Plectropomus leopardus,Leopard coralgrouper,Coastal,,Plectropomus,Serranidae,35,-30,99,-178,65,32.5,2.5
Plectropomus maculatus,Spotted coralgrouper,Coastal,,Plectropomus,Serranidae,21,-28,117,159,49,24.5,-3.5
Pleuragramma antarctica,Antarctica silverfish,Pelagic,,Pleuragramma,Nototheniidae,-60,-78,-180,180,18,9,-69
Pleurogrammus monopterygius,Atka mackerel,Coastal,,Pleurogrammus,Hexagrammidae,64,34,130,-118,30,15,49
Pleuronectes platessa,European plaice,Coastal,,Pleuronectes,Pleuronectidae,72,36,-47,45,36,18,54
Polyprion americanus,Wreckfish,Coastal,Maybe,Polyprion,Polyprionidae,70,-55,-82,179,125,62.5,7.5
Polyprion oxygeneios,Hapuku wreckfish,Coastal,,Polyprion,Polyprionidae,-28,-50,-180,180,22,11,-39
Pomacentrus amboinensis,Ambon damsel,Coastal,,Pomacentrus,Pomacentridae,30,-25,#VALUE!,NA,55,27.5,2.5
Pomacentrus coelestis,Neon damselfish,Coastal,,Pomacentrus,Pomacentridae,36,-32,79,-130,68,34,2
Pomacentrus moluccensis,Lemon damsel,Coastal,,Pomacentrus,Pomacentridae,32,-32,92,-173,64,32,0
Pomatomus saltatrix,Bluefish,Pelagic,,Pomatomus,Pomatomidae,45,-44,-180,180,89,44.5,0.5
Pomatoschistus marmoratus,Marbled goby,Coastal,,Pomatoschistus,Gobiidae,48,35,-10,42,13,6.5,41.5
Pontinus kuhlii,Offshore rockfish,Coastal,,Pontinus,Scorpaenidae,43,-8,-32,16,51,25.5,17.5
Prionace glauca,Blue shark,Pelagic,,Prionace,Carcharhinidae,71,-55,-180,180,126,63,8
Pristipomoides filamentosus,Crimson jobfish,Coastal,,Pristipomoides,Lutjanidae,35,-26,31,-144,61,30.5,4.5
Pristipomoides zonatus,Oblique-banded snapper,Coastal,,Pristipomoides,Lutjanidae,35,-29,34,-146,64,32,3
Protonibea diacanthus,Blackspotted croaker,Coastal,,Protonibea,Sciaenidae,40,-35,51,148,75,37.5,2.5
Pseudopleuronectes americanus,Winter flounder,Coastal,,Pseudopleuronectes,Pleuronectidae,55,31,-82,-52,24,12,43
Pseudopleuronectes herzensteini,Yellow striped flounder,Coastal,,Pseudopleuronectes,Pleuronectidae,67,35,#VALUE!,NA,32,16,51
Pseudopleuronectes yokohamae,Marbled flounder,Coastal,,Pseudopleuronectes,Pleuronectidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Pterapogon kauderni,Banggai cardinalfish,Coastal,,Pterapogon,Apogonidae,-1,-2,123,124,1,0.5,-1.5
Pterogobius elapoides,Serpentine goby,Coastal,,Pterogobius,Gobiidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Pterogobius zonoleucus,Whitegirdled goby,Coastal,,Pterogobius,Gobiidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Pterois miles,Devil firefish,Coastal,,Pterois,Scorpaenidae,30,-36,19,112,66,33,-3
Rachycentron canadum,Cobia,Coastal,,Rachycentron,Rachycentridae,47,-37,-98,166,84,42,5
Raja clavata,Thornback ray,Coastal,,Raja,Rajidae,70,-29,-25,42,99,49.5,20.5
Raja miraletus,Brown ray,Coastal,,Raja,Rajidae,44,-35,#VALUE!,NA,79,39.5,4.5
Raja polystigma,Speckled ray,Coastal,,Raja,Rajidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Raja radula,Rough ray,Coastal,,Raja,Rajidae,46,30,-8,36,16,8,38
Rastrelliger kanagurta,Indian mackerel,Coastal,,Rastrelliger,Scombridae,38,-36,20,180,74,37,1
Reinhardtius hippoglossoides,Greenland halibut,Pelagic,,Reinhardtius,Pleuronectidae,79,33,-180,180,46,23,56
Rhincodon typus,Whale shark,Pelagic,,Rhincodon,Rhincodontidae,45,-48,-180,180,93,46.5,-1.5
Rhizoprionodon acutus,Milk shark,Coastal,,Rhizoprionodon,Carcharhinidae,41,-30,-27,156,71,35.5,5.5
Rhomboplites aurorubens,Vermilion snapper,Coastal,,Rhomboplites,Lutjanidae,42,-33,-99,-30,75,37.5,4.5
Ruanoho whero,Spectacled triplefin,Coastal,Maybe,Ruanoho,Tripterygiidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Sarda sarda,Atlantic bonito,Pelagic,,Sarda,Scombridae,62,-40,-98,42,102,51,11
Sardina pilchardus,European pilchard,Coastal,,Sardina,Clupeidae,68,14,-32,43,54,27,41
Sardinella lemuru,Bali sardinella,Coastal,Maybe,Sardinella,Clupeidae,38,-33,97,134,71,35.5,2.5
Sardinella longiceps,Indian oil sardine,Coastal,,Sardinella,Clupeidae,25,7,57,81,18,9,16
Sardinops sagax,South American pilchard,Coastal,,Sardinops,Clupeidae,61,-47,-145,180,108,54,7
Saurida elongata,Slender lizardfish,Coastal,,Saurida,Synodontidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Scartella cristata,Molly miller,Coastal,,Scartella,Blenniidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Scarus ghobban,Blue-barred parrotfish,Coastal,,Scarus,Scaridae,31,-35,21,-77,66,33,-2
Scarus psittacus,Common parrotfish,Coastal,,Scarus,Scaridae,36,-35,30,-123,71,35.5,0.5
Sciaenops ocellatus,Red drum,Coastal,Maybe,Sciaenops,Sciaenidae,43,0,#VALUE!,NA,43,21.5,21.5
Scomber australasicus,Blue mackerel,Coastal,Maybe,Scomber,Scombridae,43,-50,32,-110,93,46.5,-3.5
Scomber japonicus,Chub mackerel,Pelagic,,Scomber,Scombridae,60,-48,116,-70,108,54,6
Scomber scombrus,Atlantic mackerel,Pelagic,,Scomber,Scombridae,70,30,-77,42,40,20,50
Scomberomorus brasiliensis,Serra Spanish mackerel,Coastal,,Scomberomorus,Scombridae,21,-36,-90,-29,57,28.5,-7.5
Scomberomorus cavalla,King mackerel,Coastal,,Scomberomorus,Scombridae,44,-22,-98,-34,66,33,11
Scomberomorus commerson,Narrow-barred Spanish mackerel,Pelagic,,Scomberomorus,Scombridae,39,-41,-7,180,80,40,-1
Scomberomorus concolor,Monterey Spanish mackerel,Coastal,,Scomberomorus,Scombridae,32,26,-115,-108,6,3,29
Scomberomorus niphonius,Japanese Spanish mackerel,Coastal,,Scomberomorus,Scombridae,45,18,108,143,27,13.5,31.5
Scomberomorus semifasciatus,Broad-barred king mackerel,Coastal,,Scomberomorus,Scombridae,-7,-30,112,157,23,11.5,-18.5
Scomberomorus sierra,Pacific sierra,Coastal,,Scomberomorus,Scombridae,33,-27,-121,-70,60,30,3
Scombrops boops,Gnomefish,Coastal,Maybe,Scombrops,Scombridae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Scombrops gilberti,Gnomefish,Coastal,,Scombrops,Scombridae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Scophthalmus maximus,Turbot,Coastal,,Scophthalmus,Scophthalmidae,70,30,-23,36,40,20,50
Scophthalmus rhombus,Brill,Coastal,,Scophthalmus,Scophthalmidae,68,30,-25,42,38,19,49
Scorpaena porcus,Black scorpionfish,Coastal,,Scorpaena,Scorpaenidae,55,25,-32,42,30,15,40
Scyliorhinus canicula,Lesser spotted dogfish,Coastal,,Scyliorhinus,Scyliorhinidae,63,12,-18,36,51,25.5,37.5
Scyliorhinus stellaris,Nursehound,Coastal,,Scyliorhinus,Scyliorhinidae,64,12,-18,36,52,26,38
Sebastes alutus,Pacific ocean perch,Coastal,,Sebastes,Sebastidae,64,24,143,-110,40,20,44
Sebastes atrovirens,Kelp rockfish,Coastal,,Sebastes,Sebastidae,39,27,-124,-114,12,6,33
Sebastes auriculatus,Brown rockfish,Coastal,,Sebastes,Sebastidae,61,27,-155,-114,34,17,44
Sebastes borealis,Shortraker rockfish,Coastal,,Sebastes,Sebastidae,61,34,#VALUE!,NA,27,13.5,47.5
Sebastes caurinus,Copper rockfish,Coastal,,Sebastes,Sebastidae,60,27,-152,-114,33,16.5,43.5
Sebastes crameri,Darkblotched rockfish,Coastal,,Sebastes,Sebastidae,70,32,162,-116,38,19,51
Sebastes emphaeus,Puget Sound rockfish,Coastal,,Sebastes,Sebastidae,60,38,-152,-120,22,11,49
Sebastes fasciatus,Acadian redfish,Coastal,,Sebastes,Sebastidae,74,35,-75,-13,39,19.5,54.5
Sebastes flavidus,Yellowtail rockfish,Coastal,,Sebastes,Sebastidae,62,32,-167,-117,30,15,47
Sebastes helvomaculatus,Rosethorn rockfish,Coastal,,Sebastes,Sebastidae,60,28,-155,-114,32,16,44
Sebastes inermis,Dark-banded rockfish,Coastal,,Sebastes,Sebastidae,45,30,#VALUE!,NA,15,7.5,37.5
Sebastes macdonaldi,Mexican rockfish,Coastal,,Sebastes,Sebastidae,37,23,-125,-109,14,7,30
Sebastes melanops,Black rockfish,Coastal,,Sebastes,Sebastidae,62,22,170,-110,40,20,42
Sebastes mentella,Beaked redfish,Pelagic,,Sebastes,Sebastidae,79,41,-67,35,38,19,60
Sebastes miniatus,Vermilion rockfish,Coastal,,Sebastes,Sebastidae,54,27,-134,-114,27,13.5,40.5
Sebastes mystinus,Blue rockfish,Coastal,,Sebastes,Sebastidae,55,30,130,-150,25,12.5,42.5
Sebastes norvegicus,Golden redfish,Pelagic,,Sebastes,Sebastidae,79,39,-75,71,40,20,59
Sebastes oculatus,Patagonian redfish,Coastal,,Sebastes,Sebastidae,-10,-56,-78,-53,46,23,-33
Sebastes paucispinis,Bocaccio rockfish,Coastal,,Sebastes,Sebastidae,65,31,#VALUE!,NA,34,17,48
Sebastes pinniger,Canary rockfish,Coastal,,Sebastes,Sebastidae,61,31,-154,-116,30,15,46
Sebastes polyspinis,Northern rockfish,Coastal,,Sebastes,Sebastidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Sebastes rastrelliger,Grass rockfish,Coastal,,Sebastes,Sebastidae,45,29,-125,-115,16,8,37
Sebastes ruberrimus,Yelloweye rockfish,Coastal,,Sebastes,Sebastidae,60,28,-170,-115,32,16,44
Sebastes schlegelii,Korean rockfish,Coastal,,Sebastes,Sebastidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Sebastes thompsoni,Goldeye rockfish,Coastal,,Sebastes,Sebastidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Sebastes viviparus,Norway redfish,Coastal,,Sebastes,Sebastidae,71,50,-50,21,21,10.5,60.5
Sebastiscus marmoratus,False kelpfish,Coastal,,Sebastiscus,Sebastidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Selar crumenophthalmus,Bigeye scad,Coastal,,Selar,Carangidae,47,-31,-180,180,16,39,39
Semicossyphus darwini,Galapagos sheephead,Coastal,,Semicossyphus,Labridae,0,-24,-92,-70,24,12,-12
Semicossyphus pulcher,California sheephead,Coastal,Maybe,Semicossyphus,Labridae,37,22,-123,-106,15,7.5,29.5
Seriola dumerili,Greater amberjack,Coastal,,Seriola,Carangidae,45,-28,-180,180,73,36.5,8.5
Seriola lalandi,Yellowtail amberjack,Pelagic,,Seriola,Carangidae,55,-57,-180,180,112,56,-1
Seriola rivoliana,Longfin yellowtail,Pelagic,,Seriola,Carangidae,43,-38,-180,180,81,40.5,2.5
Seriolella brama,Common warehou,Coastal,,Seriolella,Centrolophidae,-32,-51,115,179,19,9.5,-41.5
Seriolella punctata,Silver warehou,Coastal,,Seriolella,Centrolophidae,-32,-55,115,-71,23,11.5,-43.5
Serranus cabrilla,Comber,Coastal,,Serranus,Serranidae,57,-35,-32,36,92,46,11
Siganus fuscescens,Mottled spinefoot,Coastal,,Siganus,Siganidae,42,-37,90,171,79,39.5,2.5
Siganus guttatus,Orange-spotted spinefoot,Coastal,,Siganus,Siganidae,30,-30,#VALUE!,NA,60,30,0
Siganus spinus,Little spinefoot,Coastal,,Siganus,Siganidae,30,-30,77,-129,60,30,0
