"","spp","CommonName","Source","PrimerNote","Country","Site","lat","lon","stockid","CollectionYear","NumMarkers","MarkerName","CrossSpp","n","Repeat","He","Hese","file"
"1","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa1",0,"10","4",0.825,NA,"msats303"
"2","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa10",0,"10","4",0.835,NA,"msats303"
"3","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa17",0,"9","4",0.87,NA,"msats303"
"4","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa18",0,"10","4",0.91,NA,"msats303"
"5","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa23",0,"10","4",0.87,NA,"msats303"
"6","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa30",0,"10","4",0.755,NA,"msats303"
"7","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa38",0,"10","4",0.82,NA,"msats303"
"8","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"Absa41",0,"10","4",0.89,NA,"msats303"
"9","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"2al10",1,"10","2",0.59,NA,"msats303"
"10","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"2al13",1,"8","2",0.883,NA,"msats303"
"11","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"2al2",1,"8","2",0.836,NA,"msats303"
"12","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Abrolhos",-17.9261111111111,-38.9352777777778,NA,"",1,"2al24",1,"9","3",0.29,NA,"msats303"
"13","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa1",0,"5","4",0.84,NA,"msats303"
"14","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa10",0,"5","4",0.86,NA,"msats303"
"15","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa17",0,"5","4",0.82,NA,"msats303"
"16","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa18",0,"5","4",0.86,NA,"msats303"
"17","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa23",0,"5","4",0.82,NA,"msats303"
"18","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa30",0,"5","4",0.8,NA,"msats303"
"19","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa38",0,"5","4",0.86,NA,"msats303"
"20","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"Absa41",0,"5","4",0.82,NA,"msats303"
"21","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Brazil","Fernando de Noronha",-3.84066666666667,-32.4111111111111,NA,"",1,"2al24",1,"4","3",0.656,NA,"msats303"
"22","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"Absa1",0,"22","4",0.897,NA,"msats303"
"23","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"Absa10",0,"20","4",0.884,NA,"msats303"
"24","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"Absa18",0,"22","4",0.9,NA,"msats303"
"25","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"Absa23",0,"22","4",0.931,NA,"msats303"
"26","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"Absa30",0,"22","4",0.888,NA,"msats303"
"27","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"Absa38",0,"22","4",0.887,NA,"msats303"
"28","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"Absa41",0,"22","4",0.882,NA,"msats303"
"29","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"2al10",1,"22","2",0.6,NA,"msats303"
"30","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"2al13",1,"22","2",0.893,NA,"msats303"
"31","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"2al2",1,"22","2",0.882,NA,"msats303"
"32","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Colombia","Santa Marta",11.2466944444444,-74.2298888888889,NA,"",1,"2al24",1,"21","3",0.407,NA,"msats303"
"33","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Jamaica","Discovery Bay",18.4654444444444,-77.4038888888889,NA,"",1,"Absa1",0,"10","4",0.835,NA,"msats303"
"34","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Jamaica","Discovery Bay",18.4654444444444,-77.4038888888889,NA,"",1,"Absa10",0,"10","4",0.915,NA,"msats303"
"35","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890",0,"Jamaica","Discovery Bay",18.4654444444444,-77.4038888888889,NA,"",1,"Absa17",0,"10","4",0.88,NA,"msats303"
