"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise"
"1","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","","Caribbean Sea off the Cayman Islands",19.303,-75,NA,"2001","control region",23,890,1,NA,0.052,NA
"2","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","Bahamas","Bimini, Bahamas",25.739,-78.9652777777778,NA,"1997/1998","control region",40,890,1,NA,0.05,NA
"3","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Atlantic Ocean off North Carolina",34.8,-70,NA,"2000/2001","control region",23,890,1,NA,0.053,NA
"4","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","East Central Florida",28.304,-75,NA,"2001","control region",30,890,1,NA,0.055,NA
"5","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Northern Gulf of Mexico",29.229,-84,NA,"1998-2000","control region",54,890,0.999,NA,0.055,NA
"6","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Southern tip of Florida",25.205,-76,NA,"2000/2001","control region",21,890,0.995,NA,0.049,NA
"7","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","USA","Central Pacific Ocean off Hawaiian Islands",22,-158,NA,"2000","control region",40,890,1,NA,0.055,NA
"8","Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Fulung",25.066,121.133333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",7,717,0.8792,NA,0.00381,NA
"9","Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Matsu",26.164,120,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,NA,0.00399,NA
"10","Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Penghu",23.554,119.083333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,NA,0.00269,NA
"11","Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Taihsi",23.655,120.033333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.8485,NA,0.00232,NA
"12","Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Tanshui",25.165,121.033333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,NA,0.00232,NA
