"","X","Site","lat","lon","sst.BO_sstmean","sst.BO_sstrange","sst.BO_sstmax","sst.BO_sstmin","BO_dissox","chloroA.BO_chlomean","chloroA.BO_chlorange","chloroA.BO_chlomax","chloroA.BO_chlomin"
"1",1,"AntÛn Lizardo",19.0992222222222,-95.9416944444445,27.3279991149902,7.18499994277954,30.6539993286133,23.4689998626709,4.53700017929077,1.94400000572205,3.84200000762939,4.53000020980835,0.688000023365021
"2",2,"Contoy Island",21.4720555555556,-86.7888611111111,27.4850006103516,3.92499995231628,29.5690002441406,25.6439990997314,4.58400011062622,1.40699994564056,2.82100009918213,3.33400011062622,0.513000011444092
"3",3,"Cozumel Island",20.4406944444444,-87.0022777777778,28.1110000610352,3.37599992752075,29.9689998626709,26.5930004119873,4.57999992370605,0.0799999982118607,0.0469999983906746,0.109999999403954,0.063000001013279
"4",4,"Lobos Island",21.4887222222222,-97.2270833333333,26.3859996795654,7.89300012588501,30.0419998168945,22.1490001678467,4.47499990463257,0.523000001907349,0.700999975204468,0.871999979019165,0.171000003814697
"5",5,"Tuxpan",21.0270277777778,-97.1991388888889,26.4400005340576,7.35200023651123,29.9409999847412,22.5890007019043,4.46700000762939,0.652999997138977,0.708999991416931,0.978999972343445,0.270000010728836
"6",6,"Veracruz",19.1995833333333,-96.0694444444444,27.2290000915527,7.21600008010864,30.5160007476807,23.2999992370605,4.53000020980835,1.07099997997284,1.77300000190735,2.29500007629395,0.522000014781952
"7",7,"Xcalak",18.3259722222222,-87.8156111111111,28.1590003967285,3.50799989700317,30.0809993743896,26.5729999542236,4.65000009536743,0.130999997258186,0.0540000014007092,0.163000002503395,0.108999997377396
"8",8,"Caribbean Sea off the Cayman Islands",19.303,-75,28.4689998626709,3.2039999961853,30.0990009307861,26.8950004577637,4.68499994277954,0.0729999989271164,0.0419999994337559,0.0939999967813492,0.0520000010728836
"9",9,"Bimini, Bahamas",25.739,-79.0347222222222,26.246000289917,8.47799968719482,30.5450000762939,22.0669994354248,4.66200017929077,2.42799997329712,3.65700006484985,4.53999996185303,0.883000016212463
"10",10,"Atlantic Ocean off North Carolina",34.8,-70,22.9500007629395,8.08800029754639,27.3579998016357,19.2700004577637,4.90899991989136,0.135000005364418,0.221000000834465,0.280000001192093,0.0590000003576279
"11",11,"East Central Florida",28.304,-75,25.2709999084473,7.25899982452393,29.2600002288818,22.0009994506836,4.79199981689453,0.0759999975562096,0.0670000016689301,0.118000000715256,0.0509999990463257
"12",12,"Northern Gulf of Mexico",29.229,-84,23.5209999084473,13.9580001831055,30.3819999694824,16.423999786377,5.06199979782104,0.677999973297119,0.790000021457672,1.182000041008,0.391999989748001
"13",13,"Southern tip of Florida",25.205,-76,26.5459995269775,5.36999988555908,29.5359992980957,24.1660003662109,4.60400009155273,0.0729999989271164,0.0439999997615814,0.0979999974370003,0.0540000014007092
"14",14,"Central Pacific Ocean off Hawaiian Islands",22,-158,25.2560005187988,2.95099997520447,26.826000213623,23.875,4.76000022888184,0.0700000002980232,0.0309999994933605,0.0850000008940697,0.0540000014007092
"15",15,"Fulung",25.066,121.133333333333,25.1450004577637,11.5900001525879,30.1529998779297,18.5629997253418,4.65799999237061,2.92000007629395,2.62199997901917,4.38199996948242,1.75999999046326
"16",16,"Matsu",26.164,120,21.2999992370605,14.5120000839233,28.2660007476807,13.753999710083,4.94999980926514,3.07399988174438,2.23600006103516,4.63199996948242,2.39599990844727
"17",17,"Penghu",23.554,119.083333333333,24.8020000457764,9.11800003051758,28.9150009155273,19.7970008850098,4.62400007247925,0.700999975204468,0.783999979496002,1.0789999961853,0.294999986886978
"18",18,"Taihsi",23.655,120.033333333333,25.6180000305176,7.58699989318848,29.1469993591309,21.5599994659424,4.52199983596802,2.12400007247925,2.95499992370605,4.24700021743774,1.29200005531311
"19",19,"Tanshui",25.165,121.033333333333,24.6870002746582,10.3400001525879,29.1350002288818,18.7950000762939,4.66300010681152,1.56599998474121,1.26900005340576,2.19700002670288,0.927999973297119
"20",20,"Tungkang",22.447,120.1,27.0919990539551,5.72300004959106,29.7959995269775,24.0729999542236,4.48400020599365,0.160999998450279,0.152999997138977,0.257999986410141,0.104999996721745
"21",21,"Wuchi",24.187,120.1,24.923999786377,9.38199996948242,28.7980003356934,19.4160003662109,4.56099987030029,0.904999971389771,0.345999985933304,1.01999998092651,0.674000024795532
"22",22,"Cocos Islands",5.08361111111111,87.0019444444444,29.2800006866455,1.81200003623962,30.4820003509521,28.6700000762939,4.50699996948242,0.164000004529953,0.131999999284744,0.24099999666214,0.108999997377396
"23",23,"Moorea",-17.0841666666667,149.134166666667,26.8150005340576,4.68100023269653,29.2129993438721,24.5319995880127,4.64599990844727,0.0769999995827675,0.0489999987185001,0.108000002801418,0.0590000003576279
"24",24,"Christmas Island",-10.0688888888889,105.100833333333,27.9839992523193,3.64800000190735,29.621000289917,25.9729995727539,4.43499994277954,0.140000000596046,0.17399999499321,0.259999990463257,0.0860000029206276
"25",25,"Diego Garcia",-7.05027777777778,72.0669444444444,28.7029991149902,3.18600010871887,30.2520008087158,27.0659999847412,4.57399988174438,0.141000002622604,0.12899999320507,0.223000004887581,0.0939999967813492
"26",26,"Seychelles",-4.10027777777778,55.0680555555556,28.5419998168945,5.00500011444092,30.7509994506836,25.746000289917,4.59700012207031,0.344999998807907,1.6599999666214,1.76199996471405,0.101999998092651
"27",27,"Kiritimati",1.135,-157.066666666667,27.3190002441406,1.85199999809265,28.0839996337891,26.2320003509521,4.57000017166138,0.17399999499321,0.0359999984502792,0.194000005722046,0.158000007271767
