spp,CommonName,Source,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise,Notes
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kuchino-shima Island,29.969423,,,129.924462,,,2007-2011,Cyt b,10,1053,0.911111,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Gaja-jima Island,29.905243,,,129.540414,,,2007-2011,Cyt b,20,1053,0.931579,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kodakara-jima Island,29.223751,,,129.324493,,,2007-2011,Cyt b,16,1053,0.991667,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Amami-oshima Island,28.282984,,,129.354486,,,2007-2011,Cyt b,10,1053,0.977778,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Okinawa Island,26.705859,,,128.161069,,,2007-2011,Cyt b,25,1053,0.953333,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Yaeyama Islands,24.4,,,124.6,,,2007-2011,Cyt b,30,1053,0.958621,,,,pulled from paper figure
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,East Coast,23.984284,,,121.6383,,,2007-2011,Cyt b,25,1053,0.913333,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,Southern Coast,21.954691,,,120.755507,,,2007-2011,Cyt b,20,1053,0.989474,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,West Coast,23.764021,,,120.122151,,,2007-2011,Cyt b,12,1053,0.969697,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Vietnam,Nha Trang,12.240673,,,109.214914,,,2007-2011,Cyt b,35,1053,0.961345,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Malaysia,Kota Kinabalu,6.019033,,,116.093812,,,2007-2011,Cyt b,26,1053,0.976923,,,,geo coordinates pulled from place name
Epinephelus fasciatus,Blacktip Grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Indonesia,Bitung,1.423907,,,125.160842,,,2007-2011,Cyt b,23,1053,0.956522,,,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,Hopedale,55.458002,,,-60.214912,,,2013,mitogenome,12,16575,1,,0.0028,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Poland,Sopot,54.445718,,,18.575062,,,2004,mitogenome,10,16575,1,,0.0027,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Norway,Tromsö,69.652584,,,18.955858,,,1989,mitogenome,7,16575,1,,0.0026,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,Hawke Channel,53.067138,,,-55.667497,,,1994,mitogenome,10,16575,1,,0.0024,,pulled from paper figure
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,Fundy,43.687105,,,-64.991598,,,1994,mitogenome,10,16575,1,,0.0023,,pulled from paper figure
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",USA,Georges Bank,41.066253,,,-68.564823,,,1995,mitogenome,10,16575,1,,0.0022,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,Random Island,48.134739,,,-53.55223,,,1994,mitogenome,11,16575,1,,0.0021,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,Postville,54.908829,,,-59.767629,,,2014,mitogenome,14,16575,1,,0.0018,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,Flemish Cap,47.876838,,,-45.483398,,,1993,mitogenome,11,16575,1,,0.0018,,geo coordinates pulled from place name
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,N. Grand Banks,48.202715,,,-51.182344,,,1994,mitogenome,13,16575,1,,0.0017,,pulled from paper figure
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,E. Scotian Shelf,45.644085,,,-59.780762,,,1994,mitogenome,11,16575,1,,0.0017,,pulled from paper figure
Gadus morhua,Atlantic cod,"Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437",Canada,Makkovik,55.088823,,,-59.169422,,,2013,mitogenome,14,16575,1,,0.0016,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Hawkes Bay,-39.344608,,,177.236921,,,,CR,22,488,0.957,,0.0137,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Kaikoura,-42.425785,,,173.672057,,,,CR,39,488,0.853,,0.01258,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Otago,-46.34639,,,170.224676,,,,CR,49,488,0.808,,0.01216,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Cook Strait,-41.312182,,,174.323793,,,,CR,25,488,0.88,,0.0117,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Leigh,-36.296066,,,174.808136,,,,CR,49,488,0.894,,0.01153,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Makara,-41.313783,,,174.624757,,,,CR,21,488,0.805,,0.01131,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Chatham Islands,-43.967911,,,-176.319733,,,,CR,44,488,0.878,,0.00934,,geo coordinates pulled from place name
Polyprion oxygeneios,Hapuku wreckfish,"Lane, Symonds & Ritchie 2016 Fisheries Research 174:19-29",New Zealand,Hokitika,-42.712699,,,170.96194,,,,CR,45,488,0.822,,0.00928,,geo coordinates pulled from place name
Thamnaconus hypargyreus,Lesser-spotted leatherjacket,Li et al. 2016 Mitochondrial DNA 27:798-805,China,Pearl River Estuary,21,37,,113,37,,2013,CR,35,636,0.9597,,0.0116,,
Thamnaconus hypargyreus,Lesser-spotted leatherjacket,Li et al. 2016 Mitochondrial DNA 27:798-805,China,East Guangdong,22,52,,117,5,,2013,CR,34,636,0.975,,0.0108,,
Thamnaconus hypargyreus,Lesser-spotted leatherjacket,Li et al. 2016 Mitochondrial DNA 27:798-805,China,Beibu Bay,21,3,,109,10,,2012,CR,21,636,0.9286,,0.0105,,
Thamnaconus hypargyreus,Lesser-spotted leatherjacket,Li et al. 2016 Mitochondrial DNA 27:798-805,China,Nansha Islands,5,25,,109,34,,2013,CR,34,636,0.918,,0.0075,,
Thamnaconus hypargyreus,Lesser-spotted leatherjacket,Li et al. 2016 Mitochondrial DNA 27:798-805,China,West Guangdong,21,5,,111,5,,2013,CR,34,636,0.918,,0.0069,,
Pampus minor,Southern lesser pomfret,Li et al. 2019 Pakistan J. Zool. 51:149-157,Malaysia,Kuala Selangor,3.32364,,,101.236816,,,2016,Cytb,24,415,0.6341,0.0199,0.0048,0.0007,geo coordinates pulled from place name
Pampus minor,Southern lesser pomfret,Li et al. 2019 Pakistan J. Zool. 51:149-157,Malaysia,Mukah,2.929505,,,112.06176,,,2016,Cytb,24,415,0.5036,0.025,0.0028,0.0004,geo coordinates pulled from place name
Pampus minor,Southern lesser pomfret,Li et al. 2019 Pakistan J. Zool. 51:149-157,China,Beihai,21.425024,,,109.082557,,,2016,Cytb,24,415,0.6377,0.0124,0.0019,0.0003,geo coordinates pulled from place name
Pampus minor,Southern lesser pomfret,Li et al. 2019 Pakistan J. Zool. 51:149-157,China,Haikou,20.081555,,,110.215835,,,2016,Cytb,24,415,0.529,0.0213,0.0014,0.0003,geo coordinates pulled from place name
Branchiostoma japonicum,,"Li, Zhong & Wang 2013 Zoological Science 30:83-91",China,Quingdao,36.051652,,,12.393669,,,2006,"tRNAG, ND6",15,467,1,,0.0166,,geo coordinates pulled from place name
Branchiostoma belcheri,,"Li, Zhong & Wang 2013 Zoological Science 30:83-91",China,Maoming,21.513626,,,111.042936,,,2005,"tRNAG, ND6",15,541,1,,0.0156,,geo coordinates pulled from place name
Branchiostoma japonicum,,"Li, Zhong & Wang 2013 Zoological Science 30:83-91",China,Xiamen,24.479806,,,118.066633,,,2005,"tRNAG, ND6",15,467,1,,0.0128,,geo coordinates pulled from place name
Branchiostoma belcheri,,"Li, Zhong & Wang 2013 Zoological Science 30:83-91",China,Beihai,21.425024,,,109.082557,,,2008,"tRNAG, ND6",10,541,1,,0.0123,,geo coordinates pulled from place name
Branchiostoma belcheri,,"Li, Zhong & Wang 2013 Zoological Science 30:83-91",China,Xiamen,24.479806,,,118.066633,,,2005,"tRNAG, ND6",15,541,0.9917,,0.0102,,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,Australia,Lizard Island,-14.666513,,,145.462654,,,2007-2017,Cytb,35,911,0.968,0.0034,0.039,0.0032,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,Indonesia,Komodo,-8.561369,,,119.441041,,,2007-2017,Cytb,18,911,0.882,0.0151,0.014,0.0016,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,Madagascar,Toliara,-20.290536,,,44.27074,,,2007-2017,Cytb,9,911,0.889,0.0303,0.007,0.0013,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,Indonesia,Amed,-8.333868,,,115.64842,,,2007-2017,Cytb,19,911,0.953,0.0083,0.007,0.0009,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,Taiwan,Dongsha,20.703534,,,116.724549,,,2007-2017,Cytb,15,911,0.933,0.0139,0.005,0.0008,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,Japan,Sesoko Island,26.646333,,,127.864911,,,2007-2017,Cytb,11,911,0.946,0.0199,0.005,0.0009,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,Israel,Eliat,24.514481,,,34.958865,,,2007-2017,Cytb,10,911,0.956,0.0187,0.004,0.0006,geo coordinates pulled from place name
Chromis viridis,Blue-green damselfish,Liu et al. 2019 PeerJ 7:e7384,French Polynesia,Moorea Island,-17.53412,,,-149.830682,,,2007-2017,Cytb,48,911,0.785,0.0088,0.003,0.0003,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Kochi,33.358191,,,133.371119,,,2012,CR,23,458,0.9368,,0.0251,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Iki Island,33.795724,,,129.712759,,,2012,CR,21,458,0.9571,,0.0239,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Xiamen,24.411672,,,118.111265,,,2014,CR,24,458,0.9565,,0.0236,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Weihai,37.509799,,,122.155264,,,2009,CR,24,458,0.9964,,0.0235,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Yokosuka,35.279732,,,139.71197,,,2011,CR,22,458,0.974,,0.0229,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Ishikawa,36.657932,,,136.389593,,,2012,CR,10,458,0.8667,,0.0224,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Tottori,35.54361,,,134.087662,,,2015,CR,24,458,0.9783,,0.0224,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Shizuoka,34.935802,,,138.475934,,,2012,CR,12,458,0.9848,,0.0224,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Guangzhou,22.663588,,,113.724941,,,2010,CR,18,458,0.9804,,0.0221,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Zhoushan,29.99608,,,122.089691,,,2015,CR,24,458,0.9601,,0.0219,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Rushan,36.790251,,,121.7098,,,2009,CR,23,458,0.9526,,0.0216,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Ariake-kai,33.030019,,,130.313659,,,2012,CR,10,458,0.9778,,0.0216,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Quingdao,36.036107,,,120.386116,,,2009,CR,24,458,0.9964,,0.0208,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Shantou,23.31139,,,116.796332,,,2015,CR,21,458,0.9524,,0.0194,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Hakata Island,34.214879,,,133.091874,,,2011,CR,14,458,0.956,,0.0179,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Huizhou,22.702843,,,114.626876,,,2010,CR,21,458,0.9524,,0.0173,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Awaji,34.342222,,,134.815651,,,2012,CR,15,458,0.9996,,0.0171,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Wenzhou,27.90433,,,120.916468,,,2010,CR,14,458,0.978,,0.0167,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Niigata,37.921036,,,138.983031,,,2015,CR,15,458,0.9238,,0.0156,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Beihai,21.539395,,,109.020758,,,2015,CR,24,458,0.9638,,0.014,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,China,Hainan,20.124059,,,110.454234,,,2010,CR,14,458,0.989,,0.011,,geo coordinates pulled from place name
Sebastiscus marmoratus,Marbled rockfish,Liu et al. 2019 ZooKeys 830:127-144,Japan,Hyogo,34.749083,,,134.706661,,,2015,CR,24,458,0.8587,,0.0098,,geo coordinates pulled from place name
Scomberomorus concolor,Monterey Spanish mackerel,"Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583",Mexico,Bahía Guaymas,27,55,6,-110,53,56,2005,Cytb,30,873,0.947,0.0047,0.0051,0.0005,
Scomberomorus concolor,Monterey Spanish mackerel,"Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583",Mexico,Huatabampo,26,49,39,-119,38,32,2005,Cytb,28,873,0.947,0.0057,0.0051,5.4805,
Scomberomorus concolor,Monterey Spanish mackerel,"Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583",USA,Santa Clara,31,41,12,-114,29,59,2006,Cytb,28,873,0.952,0.0049,0.005,0.0005,
Scomberomorus concolor,Monterey Spanish mackerel,"Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583",Mexico,Puerto Peñasco,31,19,,-113,32,13,2006,Cytb,28,873,0.955,0.0057,0.005,0.0005,
Scomberomorus concolor,Monterey Spanish mackerel,"Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583",Mexico,San Felipe,31,1,39,-114,50,7,2006,Cytb,27,873,0.966,0.0048,0.0048,0.0005,
Scomberomorus concolor,Monterey Spanish mackerel,"Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583",Mexico,Bahía Kino,28,49,22,-111,56,27,2006,Cytb,29,873,0.924,0.0076,0.0047,0.0005,
Scomberomorus concolor,Monterey Spanish mackerel,"Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583",Mexico,Puerto Libertad,29,54,15,-112,40,59,2006,Cytb,29,873,0.931,0.0065,0.0043,0.0005,
Odonus niger,Redtoothed triggerfish,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Tingloy,13.658826,,,120.882568,,,,CR,14,891,1,0.0072,0.0467,0.0017,geo coordinates pulled from place name
Odonus niger,Redtoothed triggerfish,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Mabini,13.700853,,,120.876967,,,,CR,21,891,1,0.0033,0.0461,0.0012,geo coordinates pulled from place name
Epinephelus merra,Honeycomb grouper,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Masinloc,15.532567,,,119.939888,,,,CR,21,485,0.98,0.005,0.0184,0.0005,geo coordinates pulled from place name
Parupeneus multifasciatus,Manybar goatfish,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Bolinao,16.363403,,,119.847298,,,,CR,12,873,1,0.0098,0.0184,0.0005,geo coordinates pulled from place name
Parupeneus multifasciatus,Manybar goatfish,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Masinloc,15.532567,,,119.939888,,,,CR,11,873,1,0.0118,0.0173,0.0005,geo coordinates pulled from place name
Epinephelus merra,Honeycomb grouper,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Alaminos,16.183643,,,120.018662,,,,CR,14,485,0.99,0.0083,0.0155,0.0005,geo coordinates pulled from place name
Epinephelus merra,Honeycomb grouper,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Bolinao,16.363403,,,119.847298,,,,CR,32,485,0.98,0.0023,0.015,0.0003,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Elba Island,42.79672,,,10.1922278,,,2012,CR,4,,0.667,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Argentario,42.380348,,,11.115586,,,2012,CR,5,,0.733,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Civitavecchia,42.087012,,,11.786588,,,2012,CR,8,,0,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Cagliari,39.200911,,,9.102282,,,2012,CR,5,,0,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Siracusa,37.073939,,,15.298018,,,2012,CR,6,,0.333,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Gallipoli,40.347741,,,26.496889,,,2012,CR,4,,0,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Otranto,40.148706,,,18.49032,,,2012,CR,7,,0.285714,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Elba Island,42.79672,,,10.1922278,,,2012,Cytb,4,1057,1,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Argentario,42.380348,,,11.115586,,,2012,Cytb,5,1057,0.9,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Civitavecchia,42.087012,,,11.786588,,,2012,Cytb,8,1057,0.857143,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Cagliari,39.200911,,,9.102282,,,2012,Cytb,5,1057,0.9,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Siracusa,37.073939,,,15.298018,,,2012,Cytb,6,1057,1,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Gallipoli,40.347741,,,26.496889,,,2012,Cytb,4,1057,1,,,,geo coordinates pulled from place name
Sphyraena viridensis,Yellowmouth barracuda,"Milana, Ciampoli & Sola 2014 Biological Journal of the Linnean Society 113:635-641",Italy,Otranto,40.148706,,,18.49032,,,2012,Cytb,7,1057,0.904762,,,,geo coordinates pulled from place name
Okamejei kenojei,Ocellate spot skate,Misawa et al. 2018 Fishery Bulletin 117:24-36,Japan,East China Sea,32.90658,,,130.716779,,,,CR,31,597,0.6989,0.008944344,0.0016,0.000233487,geo coordinates pulled from place name
Okamejei kenojei,Ocellate spot skate,Misawa et al. 2018 Fishery Bulletin 117:24-36,Japan,Osaka Bay,34.50296,,,135.186743,,,,CR,24,597,0.0833,0.015288898,0.0001,0.000612372,geo coordinates pulled from place name
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. 2019 Molecular Biology Reports 46:5079-5088,Madagascar,Toliara,-23.351619,,,43.685494,,,2013,Cytb,18,489,0.902,0.0156,0.011,0.0014,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. 2019 Molecular Biology Reports 46:5079-5088,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,Cytb,18,489,0.863,0.0151,0.005,0.0007,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. 2019 Molecular Biology Reports 46:5079-5088,Kenya,Shimoni,-4.647163,,,39.380413,,,2013,Cytb,21,489,0.629,0.0268,0.004,0.0007,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. 2019 Molecular Biology Reports 46:5079-5088,Tanzania,Dar es Salaam,-6.792354,,,39.208328,,,2013,Cytb,13,489,0.731,0.0369,0.003,0.0006,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. 2019 Molecular Biology Reports 46:5079-5088,Seychelles,Mahé,-4.682669,,,55.480396,,,2013,Cytb,21,489,0.429,0.0292,0.002,0.0002,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. 2019 Molecular Biology Reports 46:5079-5088,South Africa,Durban,-29.85868,,,31.02184,,,2013,Cytb,22,489,0.745,0.0198,0.002,0.0004,
Xyrichtys novacula,Pearly razorfish,Nirchio et al. 2019 Genetica 147:47-56,Venezuela,Margarita Island,11.040647,,,-63.921145,,,,COI,36,510,0.6603,,,,geo coordinates pulled from place name
Xyrichtys novacula,Pearly razorfish,Nirchio et al. 2019 Genetica 147:47-56,Italy,Ponza Island,40.914301,,,12.958515,,,,COI,8,510,0.4286,,,,geo coordinates pulled from place name
Xyrichtys novacula,Pearly razorfish,Nirchio et al. 2019 Genetica 147:47-56,Italy,Gallipoli,40.052866,,,17.986013,,,,COI,4,510,0,,,,geo coordinates pulled from place name
Acanthurus triostegus,Convict surgeonfish,Otwoma et al. 2018 J. Fish Biol. 93:597-608 ,Tanzania,Dar Es Salaam,-6.749797,,,39.300974,,,2015,ATPase6/8,7,842,1,,0.009,,geo coordinates pulled from place name
Acanthurus triostegus,Convict surgeonfish,Otwoma et al. 2018 J. Fish Biol. 93:597-608 ,Kenya,Mobasa,-4.067377,,,39.702996,,,2015,ATPase6/8,6,842,1,,0.008,,geo coordinates pulled from place name
Acanthurus triostegus,Convict surgeonfish,Otwoma et al. 2018 J. Fish Biol. 93:597-608 ,Kenya,Kiunga,-1.746577,,,41.49137,,,2015,ATPase6/8,9,842,0.92,,0.006,,geo coordinates pulled from place name
Acanthurus triostegus,Convict surgeonfish,Otwoma et al. 2018 J. Fish Biol. 93:597-608 ,Tanzania,Mtwara,-10.255964,,,40.162882,,,2015,ATPase6/8,4,842,1,,0.005,,geo coordinates pulled from place name
Acanthurus triostegus,Convict surgeonfish,Otwoma et al. 2018 J. Fish Biol. 93:597-608 ,Madagascar,Anakao,-23.655027,,,43.641767,,,2015,ATPase6/8,9,842,0.89,,0.005,,geo coordinates pulled from place name
Carcharhinus galapagensis,Galapagos shark,Pazmiño et al. 2017 Conserv. Genet. 18:1151-1163,Ecuador,Santa Cruz,-0.700011,,,-90.65554333,,,,CR,46,997,0.555,0.0133,0.074,0.0059,Not sure of exact sample sizes --- 85 total sampled but only 77 used in mtDNA analyses and unclear where those 77 came from
Carcharhinus galapagensis,Galapagos shark,Pazmiño et al. 2017 Conserv. Genet. 18:1151-1163,Ecuador,Northern Islands,-1,39,,-91,59,,,CR,4,997,1,0.135,0.053,0.02,Not sure of exact sample sizes --- 85 total sampled but only 77 used in mtDNA analyses and unclear where those 77 came from
Carcharhinus galapagensis,Galapagos shark,Pazmiño et al. 2017 Conserv. Genet. 18:1151-1163,Ecuador,Isabela,0,50,,-90,49,,,CR,8,997,0.585,0.0247,0.018,0.0035,Not sure of exact sample sizes --- 85 total sampled but only 77 used in mtDNA analyses and unclear where those 77 came from
